"r","rr","value"
"FL","AL",6.34594618119214
"FL","UT",29.3964722932202
"FL","OH",13.291652883478
"FL","TX",16.5661599610241
"FL","CO",24.2650396173629
"FL","SC",6.20238826287525
"FL","OK",16.2234843641833
"FL","TN",8.97455561454926
"FL","WY",27.6624864808467
"FL","HI",75.7171213736103
"FL","ND",26.2353499458152
"FL","KY",10.4116347633807
"FL","ME",22.0503133461979
"FL","NY",17.2212603828353
"FL","NV",33.5804498190275
"FL","AK",61.8011119664688
"FL","MI",18.4808580068802
"FL","AR",11.8361535865324
"FL","MS",8.34267897906233
"FL","MO",14.3935468668338
"FL","MT",31.3167623751675
"FL","KS",18.4584271283601
"FL","IN",13.2098379472666
"FL","SD",23.7387977582953
"FL","MA",18.1623797398243
"FL","VA",10.6610935520185
"FL","DC",12.6514783539116
"FL","IA",18.1212613718417
"FL","AZ",28.3873059692193
"IL","WV",7.52319164594304
"IL","FL",14.3366685232275
"IL","IL",0
"IL","MN",8.04513950023223
"IL","MD",10.7695135532714
"IL","RI",14.9017645011357
"IL","ID",21.4545219328159
"IL","NH",15.0594834679987
"IL","NC",10.1784089807965
"IL","VT",14.2805683830304
"IL","CT",13.8911263618618
"IL","DE",11.809591940196
"IL","NM",16.2755776245847
"IL","CA",26.5871520762886
"IL","NJ",12.3240959256383
"IL","WI",5.04976871287132
"IL","OR",26.1912941661227
"IL","NE",9.10998393383669
"IL","PA",9.60372085055526
"IL","WA",26.3398552669039
"IL","LA",10.537199387951
"IL","GA",9.77879130783543
"IL","AL",8.45593043294532
"IL","UT",19.258672492111
"IL","OH",5.47774690986758
"IL","TX",13.3089839369402
"IL","CO",14.1094265455221
"IL","SC",10.1197448443148
"IL","OK",8.91197955667085
"IL","TN",5.36309950011535
"IL","WY",15.6251226780434
"IL","HI",67.7318354862423
"IL","ND",12.1925795528233
"IL","KY",4.4214553659181
"IL","ME",17.2413770737237
"IL","NY",11.7013694216715
"IL","NV",23.4669144297697
"IL","AK",47.5779462479232
"IL","MI",5.98477485956411
"IL","AR",6.499949225308
"IL","MS",8.26256465497553
"IL","MO",3.47220305825837
"IL","MT",18.1588187051343
"IL","KS",8.15442836964895
"IL","IN",2.45434790915897
"IL","SD",10.3000116722068
"IL","MA",14.9368996203165
"IL","VA",9.53885053069244
"IL","DC",10.4987624935792
"IL","IA",4.24640450246132
"IL","AZ",20.9236547582827
"MN","WV",14.0354905882811
"MN","FL",22.3798735467445
"MN","IL",8.04513950023223
"MN","MN",0
"MN","MD",16.4842884741249
"MN","RI",18.8459029741167
"MN","ID",16.1038436304933
"MN","NH",17.988576057879
"MN","NC",17.4283861643457
"MN","VT",17.0232312935187
"MN","CT",17.9332831081328
"MN","DE",17.3294117296557
"MN","NM",16.6423382031385
"MN","CA",23.3177611725247
"MN","NJ",17.2461923424789
"MN","WI",3.96919589575345
"MN","OR",20.8078158162216
"MN","NE",7.00008629450804
"MN","PA",14.4768433193162
"MN","WA",20.0217895435107
"MN","LA",17.3101554191345
"MN","GA",17.8104202785081
"MN","AL",16.376423915984
"MN","UT",16.2209032434721
"MN","OH",11.3845969662967
"MN","TX",17.1615403497839
"MN","CO",12.3567944542152
"MN","SC",17.8816510330479
"MN","OK",12.2999143569384
"MN","TN",13.4080046769522
"MN","WY",11.1920404136543
"MN","HI",63.6041873969088
"MN","ND",4.92244317481783
"MN","KY",12.2656855442702
"MN","ME",19.3505985607802
"MN","NY",15.181909718703
"MN","NV",19.8236638905756
"MN","AK",39.591659913445
"MN","MI",6.79098078380057
"MN","AR",12.8307849725575
"MN","MS",15.6662055308341
"MN","MO",8.9963696791555
"MN","MT",11.8001740516278
"MN","KS",9.40141527041053
"MN","IN",9.6120533459992
"MN","SD",5.17227232097733
"MN","MA",18.6146648926514
"MN","VA",16.1456903569911
"MN","DC",16.2806140740122
"MN","IA",4.79075369536993
"MN","AZ",19.9144064358017
"MD","WV",3.42322870677183
"MD","FL",12.8169153656425
"MD","IL",10.7695135532714
"MD","MN",16.4842884741249
"MD","MD",0
"MD","RI",5.28209973800155
"MD","ID",31.8564721018137
"MD","NH",6.78427918951403
"MD","NC",4.38004072308873
"MD","VT",6.61995865171338
"MD","CT",4.45059920411704
"MD","DE",1.06993957052948
"MD","NM",26.6229153149722
"MD","CA",37.356652645518
"MD","NJ",2.17263792271588
"MD","WI",12.52382926394
"MD","OR",36.6281400658388
"MD","NE",19.7984700801987
"MD","PA",2.38319962921999
