"yr","Dim2","Val"
"1999","OH",339.85569865834
"1999","TN",155.364955695083
"1999","WI",149.862094465315
"1999","RI",35.5680475942898
"1999","AK",26.365700705097
"1999","WV",36.202781312532
"1999","AZ",144.746313269232
"1999","NH",42.4432701633096
"1999","OK",79.6955265898143
"1999","NE",47.1248650550899
"1999","KY",113.750732946522
"1999","NM",58.8444056151838
"1999","IL",405.987483075006
"1999","NC",264.507425395621
"1999","VA",295.028396726508
"1999","CT",136.18954796919
"1999","MI",304.258755681701
"1999","DE",38.1157168901077
"1999","HI",52.2118141511598
"1999","GA",271.957144019488
"1999","CA",1179.83608563592
"1999","ME",31.6844770886553
"1999","MA",267.667339681359
"1999","MS",61.4382984109437
"1999","WA",224.475331055771
"1999","TX",623.310363899464
"1999","AL",109.686805374376
"1999","NV",75.930587179105
"1999","SD",19.2884805843444
"1999","MN",153.528304078616
"1999","VT",15.8508928849596
"1999","MO",158.299302304905
"1999","IN",177.823065587564
"1999","LA",118.42410493738
"1999","KS",75.2522386677725
"1999","AR",59.9551379057154
"1999","NY",701.553401596954
"1999","OR",91.4852619787103
"1999","ND",16.6939334904956
"1999","SC",107.833209542922
"1999","ID",30.6949137816643
"1999","NJ",294.65272439903
"1999","UT",61.1716904521647
"1999","MT",19.0107309359869
"1999","DC",73.9300322803732
"1999","PA",348.473349232904
"1999","WY",14.2398278784779
"1999","CO",161.082230696944
"2000","IA",81.4391920743855
"2000","FL",444.133124795081
"2000","MD",198.554059183585
"2000","OH",353.194236238416
"2000","TN",160.459777215821
"2000","WI",156.441177179614
"2000","RI",37.9200558566148
"2000","AK",29.0167595910165
"2000","WV",36.8706993183186
"2000","AZ",152.675014145867
"2000","NH",45.2884384438317
"2000","OK",86.4392791672441
"2000","NE",49.7393807944055
"2000","KY",112.133634877765
"2000","NM",60.7597675527828
"2000","IL",431.493109832032
"2000","NC",277.089201298331
"2000","VA",317.28694931936
"2000","CT",148.600334425924
"2000","MI",314.704877568271
"2000","DE",40.9584910517919
"2000","HI",55.7272352517046
"2000","GA",289.137554547477
"2000","CA",1293.75516060675
"2000","ME",33.9787274262905
"2000","MA",293.396704593303
"2000","MS",63.4460791913086
"2000","WA",232.04874090672
"2000","TX",677.911589816084
"2000","AL",113.011771613412
"2000","NV",81.369430919707
"2000","SD",21.0817806675692
"2000","MN",167.519222656417
"2000","VT",17.011156696055
"2000","MO",167.710452893917
"2000","IN",187.081319816855
"2000","LA",124.535941869239
"2000","KS",79.4149345579826
"2000","AR",61.5687478729737
"2000","NY",746.879835889019
"2000","OR",100.556499225157
"2000","ND",17.6860200949417
"2000","SC",113.035631787256
"2000","ID",34.4752384925924
"2000","NJ",315.557154154507
"2000","UT",65.865790900257
"2000","MT",19.9150301666359
"2000","DC",76.9759763491606
"2000","PA",365.397908438423
"2000","WY",15.5935407162527
"2000","CO",177.688422207356
"2001","IA",83.0116704530598
"2001","FL",471.527922367259
"2001","MD",213.388610442697
"2001","OH",356.003015545161
"2001","TN",164.383234698333
"2001","WI",162.952147687754
"2001","RI",39.6463232780156
"2001","AK",30.574172312475
"2001","WV",38.1405983984109
"2001","AZ",158.740306021692
"2001","NH",46.3344581860465
"2001","OK",92.1805124074839
"2001","NE",52.3225900408396
"2001","KY",116.049588545355
"2001","NM",62.0378525408413
"2001","IL",444.985148351143
