"r","rr","value"
"AR","MI",8534314.8764249
"AR","MN",13790203.9161744
"AR","MO",326073274.485844
"AR","MS",117086637.024122
"AR","MT",416308.042752434
"AR","NC",10043431.5314025
"AR","ND",5828312.59853407
"AR","NE",7129275.23213543
"AR","NJ",7909852.81229624
"AR","NM",8950622.91917733
"AR","NV",8950622.91917733
"AR","NY",7545583.27488786
"AR","OH",18473669.3971393
"AR","OK",318475652.705612
"AR","OR",832616.085504868
"AR","PA",20763363.6322776
"AR","RI",4891619.5023411
"AR","SC",2497848.2565146
"AR","SD",7961891.3176403
"AR","TN",457262346.458205
"AR","TX",687220501.57358
"AR","UT",1977463.20307406
"AR","VA",5880351.10387813
"AR","WA",2445809.75117055
"AR","WI",6556851.67335083
"AR","WV",6348697.65197462
"AR","WY",2289694.23513839
"AZ","AK",33628340.7464625
"AZ","AL",10822914.2632293
"AZ","AR",11273869.0241972
"AZ","AZ",201569691720.688
"AZ","CA",877235854.29996
"AZ","CO",103333062.370356
"AZ","CT",16878592.4819409
"AZ","DC",9019095.21935775
"AZ","FL",45224320.3142081
"AZ","GA",21581406.4177489
"AZ","HI",6893165.63193771
"AZ","IA",21194873.7654907
"AZ","ID",12240200.6548427
"AZ","IL",71508540.667765
"AZ","IN",16943014.5906506
"AZ","KS",25189044.505492
"AZ","KY",10951758.4806487
"AZ","LA",16105527.1774245
"AZ","MA",8374874.13226076
"AZ","MD",15203617.6554888
"AZ","ME",193266.326129095
"AZ","MI",33370652.3116237
"AZ","MN",39812863.1825935
"AZ","MO",39361908.4216256
"AZ","MS",5733567.67516314
"AZ","MT",5475879.24032435
"AZ","NC",15654572.4164567
"AZ","ND",29376481.5716224
"AZ","NE",21581406.4177489
"AZ","NH",644221.087096982
"AZ","NJ",11402713.2416166
"AZ","NM",193008637.694256
"AZ","NV",539728426.769851
"AZ","NY",63391354.970343
"AZ","OH",33112963.8767849
"AZ","OK",31051456.3980745
"AZ","OR",44129144.4661433
"AZ","PA",19970853.7000064
"AZ","SC",8052763.58871227
"AZ","SD",10178693.1761323
"AZ","TN",26413064.5709763
"AZ","TX",233658988.290075
"AZ","UT",212915069.285553
"AZ","VA",18295878.8735543
"AZ","VT",1224020.06548427
"AZ","WA",112931956.568101
"AZ","WI",21839094.8525877
"AZ","WV",1739396.93516185
"AZ","WY",16363215.6122633
"CA","AK",63753873.391153
"CA","AL",9691229.49790139
"CA","AR",2482876.97880118
"CA","AZ",466300315.180016
"CA","CA",1454254445183.86
"CA","CO",159384683.477882
"CA","CT",37803804.3223922
"CA","DC",69039998.5718264
"CA","DE",800928.057677801
"CA","FL",223859392.120945
"CA","GA",132793871.962979
"CA","HI",110688257.571072
"CA","IA",34039442.4513065
"CA","ID",35721391.3724299
"CA","IL",252612709.391578
"CA","IN",56465428.066285
"CA","KS",21144500.7226939
"CA","KY",25069048.2053152
"CA","LA",58227469.7931761
"CA","MA",147130484.195412
"CA","MD",49497353.9644881
"CA","ME",3924547.48262122
"CA","MI",77690021.5947467
"CA","MN",102678976.994294
"CA","MO",48936704.3241136
"CA","MS",13295405.7574515
"CA","MT",27231553.9610452
"CA","NC",50618653.245237
"CA","ND",35240834.5378232
"CA","NE",30995915.8321309
"CA","NH",8009280.57677801
"CA","NJ",93468304.3309994
"CA","NM",44211228.7838146
"CA","NV",922669122.444827
"CA","NY",373472753.295159
"CA","OH",83216425.1927235
"CA","OK",51980230.9432893
"CA","OR",286411873.425582
"CA","PA",68479348.931452
"CA","RI",12894941.7286126
"CA","SC",22666264.0322818
"CA","SD",8890301.44022359
"CA","TN",58868212.2393184
"CA","TX",406070525.242645
"CA","UT",118937816.565153
"CA","VA",96832202.1732461
"CA","VT",8249558.99408135
"CA","WA",373873217.323997
"CA","WI",53181623.029806
"CA","WV",4405104.31722791
"CA","WY",23547284.8957273
"CO","AK",29801215.4792061
"CO","AL",6622492.32871246
"CO","AR",7201960.4074748
"CO","AZ",85761275.6568264
"CO","CA",243956061.158945
"CO","CO",239063198264.184
"CO","CT",5546337.32529669
"CO","DC",15562856.9724743
"CO","FL",94453296.8382615
"CO","GA",48426975.1537099
"CO","HI",9519832.72252417
"CO","IA",16970136.5923257
"CO","ID",13658890.4279695
"CO","IL",82367248.3383613
"CO","IN",22185349.3011868
"CO","KS",72185166.3829659
"CO","KY",28807841.6298992
"CO","LA",13990015.0444051
"CO","MA",26076063.5443053
"CO","MD",13244984.6574249
"CO","ME",7615866.17801933
"CO","MI",24420440.4621272
"CO","MN",31374057.4072753
"CO","MO",45446853.6057893
"CO","MS",7533085.02391043
"CO","MT",19867476.9861374
"CO","NC",27152218.5477211
"CO","ND",105463190.334746
"CO","NE",83774527.9582127
"CO","NH",1738404.23628702
"CO","NJ",37251519.3490076
"CO","NM",192880089.073751
"CO","NV",32201868.9483644
"CO","NY",89651989.899945
"CO","OH",26655531.6230677
"CO","OK",40728327.8215817
"CO","OR",28807841.6298992
"CO","PA",34271397.801087
"CO","RI",2400653.46915827
"CO","SC",1324498.46574249
"CO","SD",8029771.94856386
"CO","TN",38244893.1983145
"CO","TX",237333568.830233
