"r","yr","value"
"ia",2002,3934.20683944005
"ks",2002,2048.70570952813
"ky",2002,1090.59821204253
"la",2002,595.76886668499
"me",2002,119.418940769819
"md",2002,315.824458304047
"ma",2002,107.715463546717
"mi",2002,963.91764582388
"mn",2002,2516.30936940584
"ms",2002,776.999251016761
"mo",2002,1308.58429686481
"mt",2002,501.724057791563
"ne",2002,2484.5422103276
"nv",2002,57.2070332454066
"nh",2002,32.0720610945342
"nj",2002,251.510582843145
"nm",2002,288.238127222947
"ny",2002,500.601429564786
"nc",2002,1726.58524366331
"nd",2002,1617.16077191857
"oh",2002,1450.97179385966
"ok",2002,822.814676763458
"or",2002,795.691504727947
"pa",2002,703.547825569262
"ri",2002,16.0301133698614
"sc",2002,371.55505931155
"sd",2002,1197.35822987805
"tn",2002,630.322579036714
"tx",2002,2811.0425597003
"ut",2002,166.557291080423
"vt",2002,47.7144326118673
"va",2002,532.321096677211
"wa",2002,1411.30209121921
"wv",2002,56.3024933602987
"wi",2002,991.581665618356
"wy",2002,135.937325819627
"al",2003,721.449149188415
"ak",2003,8.27359402566551
"az",2003,552.783032955384
"ar",2003,1802.03573423107
"ca",2003,7850.84263995229
"co",2003,873.125385061721
"ct",2003,130.722427674313
"de",2003,120.766870968915
"fl",2003,1882.39968236774
"ga",2003,1332.24195198982
"hi",2003,159.457636559129
"id",2003,719.762688653879
"il",2003,3728.68833144232
"in",2003,1851.18188544814
"ia",2003,4350.4471124644
"ks",2003,2266.66629023166
"ky",2003,1150.09984141347
"la",2003,791.407308997254
"me",2003,118.902047340062
"md",2003,280.005617917519
"ma",2003,111.358827611536
"mi",2003,1103.56104032692
"mn",2003,2843.12350668216
"ms",2003,1137.07277226505
"mo",2003,1712.28208889855
"mt",2003,515.239762863141
"ne",2003,2854.42093124356
"nv",2003,59.9204264980007
"nh",2003,35.5723285836995
"nj",2003,261.857828694664
"nm",2003,316.811687973715
"ny",2003,486.054024100657
"nc",2003,1836.58755135342
"nd",2003,1681.33198237698
"oh",2003,1552.60793932804
"ok",2003,918.22767023982
"or",2003,921.187468165764
"pa",2003,731.424150717944
"ri",2003,17.8114016353009
"sc",2003,442.159000783048
"sd",2003,1390.24484144873
"tn",2003,854.781063987587
"tx",2003,3264.78902346863
"ut",2003,181.848907106687
"vt",2003,51.2884102881467
"va",2003,562.482649396749
"wa",2003,1557.43355463762
"wv",2003,61.9314914661666
"wi",2003,1089.21642097508
"wy",2003,143.089017999483
"al",2004,726.480975255257
"ak",2004,8.37567436992567
"az",2004,632.272730147271
"ar",2004,1914.97874389643
"ca",2004,8705.81856084038
"co",2004,741.162680703952
"ct",2004,135.256694431414
"de",2004,136.828745874315
"fl",2004,1877.40144197386
"ga",2004,1475.38170492448
"hi",2004,164.092161469243
"id",2004,775.385124984777
"il",2004,3772.33952747856
"in",2004,2227.09455336419
"ia",2004,4246.47497219968
"ks",2004,1905.95203784876
"ky",2004,1238.13154018836
"la",2004,797.929179415381
"me",2004,121.42451175448
"md",2004,323.771604166436
"ma",2004,117.658327839753
"mi",2004,1137.84835375612
"mn",2004,2812.00085238991
"ms",2004,1156.42618768383
"mo",2004,1743.39705708805
"mt",2004,627.554248706075
"ne",2004,2347.05890915994
"nv",2004,55.2002780661047
"nh",2004,37.4652384479508
"nj",2004,267.316766185739
"nm",2004,318.327638075219
"ny",2004,541.869942026057
"nc",2004,2164.51920010072
"nd",2004,1712.53311957774
"oh",2004,1698.72135691154
"ok",2004,956.035181528943
"or",2004,996.676777575526
"pa",2004,861.128322199269
"ri",2004,18.9708734094079
"sc",2004,503.5799616887
"sd",2004,1323.78613477612
"tn",2004,754.442193061983
"tx",2004,3568.11499099405
"ut",2004,174.536020436037
"vt",2004,55.4104900807454
"va",2004,591.507109367797
"wa",2004,1650.46720241892
"wv",2004,56.2965315607875
"wi",2004,1128.79752845372
"wy",2004,106.707041146087
"al",2005,774.465544365255
"ak",2005,9.76895744402637
"az",2005,663.653577312774
