"yr","r","s","Val"
"1997","FL","grd",0.356533468240578
"1997","FL","pip",0.014261963617572
"1997","FL","sle",2.89933733430492
"1997","FL","osv",10.4188372758028
"1997","FL","trn",0.514886933950737
"1997","FL","smn",0.00532090768007649
"1997","FL","fmt",1.43808748382035
"1997","FL","pet",0.107182935728872
"1997","FL","mvt",4.13418101590507
"1997","FL","cep",3.62797847646067
"1997","FL","wst",0.519786646816931
"1997","FL","mot",0.434679305427989
"1997","FL","adm",11.8457845010452
"1997","FL","soc",1.91190767906592
"1997","FL","alt",0.419172284866743
"1997","FL","pmt",0.243683891013293
"1997","FL","trk",1.50624141239598
"1997","FL","fdd",6.39046662799626
"1997","FL","gmt",2.44314217131898
"1997","FL","wtt",0.493716478880237
"1997","FL","wpd",0.503120905442239
"1997","FL","wht",14.379481310462
"1997","FL","wrh",0.712369916664934
"1997","FL","ott",10.2899791305769
"1997","FL","che",1.14540795315535
"1997","FL","air",1.90213801813795
"1997","FL","mmf",1.20130729066309
"1997","FL","otr",2.37487916700248
"1997","FL","min",0.345300098919402
"1997","MD","ppd",0.301004821947235
"1997","MD","res",1.32437280844817
"1997","MD","com",2.6524350053804
"1997","MD","amb",3.82187440459341
"1997","MD","fbp",0.767323841398562
"1997","MD","rec",0.47090432781331
"1997","MD","con",5.86703139960435
"1997","MD","agr",0.122336616207158
"1997","MD","eec",0.108737055020214
"1997","MD","fnd",2.67831057236231
"1997","MD","pub",0.742101306304992
"1997","MD","hou",0.874699708737573
"1997","MD","fbt",1.0928528348507
"1997","MD","ins",2.11941180663495
"1997","MD","tex",0.0934837626458108
"1997","MD","leg",1.00836848664341
"1997","MD","fen",1.2753171337493
"1997","MD","uti",0.852293055225859
"1997","MD","nmp",0.262286763152011
"1997","MD","brd",1.58115768917556
"1997","MD","bnk",2.12963979363502
"1997","MD","ore",0.19628857639792
"1997","MD","edu",1.34424966336122
"1997","MD","ote",0.20862292538392
"1997","MD","man",0.417948578487524
"1997","MD","mch",0.640756509746322
"1997","MD","dat",0.246130435802034
"1997","MD","amd",0.802051033882437
"1997","MD","oil",0.000289517578505967
"1997","MD","hos",2.92795766392822
"1997","MD","rnt",0.419180282422096
"1997","MD","pla",0.359211462030907
