"state","hh","tl","tp","tl_avg","tlp"
"mo","hh1",0.0569631212295065,0.142127264282397,-0.0739734788469167,0.199090385511903
"mt","hh1",0.0511590964399828,0.142127264282397,-0.0915243780284,0.19328636072238
"ne","hh1",0.0761165368241239,0.142127264282397,-0.0650879321092178,0.218243801106521
"nv","hh1",0.0995595564504454,0.142127264282397,-0.0593443887292681,0.241686820732842
"nh","hh1",-0.00953982693568008,0.142127264282397,-0.142796346918405,0.132587437346717
"nj","hh1",0.0496108198638577,0.142127264282397,-0.112614724446012,0.191738084146254
"nm","hh1",0.0281682993593831,0.142127264282397,-0.119226661677586,0.17029556364178
"ny","hh1",0.0848997193117145,0.142127264282397,-0.1422476742729,0.227026983594111
"nc","hh1",0.0798644426299601,0.142127264282397,-0.0932449536367262,0.221991706912357
"nd","hh1",0.0350684604327789,0.142127264282397,-0.0646824062914415,0.177195724715176
"oh","hh1",0.0512141209683549,0.142127264282397,-0.069913132910439,0.193341385250752
"ok","hh1",0.0744935557009318,0.142127264282397,-0.124645617272351,0.216620819983328
"or","hh1",0.114969172374756,0.142127264282397,-0.0542481626819638,0.257096436657153
"pa","hh1",0.0590499523062674,0.142127264282397,-0.117717189018829,0.201177216588664
"ri","hh1",0.0562087810655871,0.142127264282397,-0.126945741130883,0.198336045347984
"sc","hh1",0.0816991161178925,0.142127264282397,-0.0841985163448934,0.223826380400289
"sd","hh1",0.0749143270151484,0.142127264282397,-0.0430057458728526,0.217041591297545
"tn","hh1",0.042132828446451,0.142127264282397,-0.0860561068153857,0.184260092728848
"tx","hh1",0.0097474632054338,0.142127264282397,-0.133215096129218,0.15187472748783
"ut","hh1",0.0535029018758884,0.142127264282397,-0.0805030510975605,0.195630166158285
"vt","hh1",0.0515255712688196,0.142127264282397,-0.0773125347773632,0.193652835551216
"va","hh1",0.0715180093285319,0.142127264282397,-0.0787826346097693,0.213645273610929
"wa","hh1",0.025085396202921,0.142127264282397,-0.118560623647782,0.167212660485318
"wv","hh1",0.0686349669747353,0.142127264282397,-0.0710072746623073,0.210762231257132
"wi","hh1",0.0710715707367114,0.142127264282397,-0.125283362266489,0.213198835019108
"wy","hh1",0.0588409790519453,0.142127264282397,-0.0577942583649969,0.200968243334342
"al","hh2",0.184647243178504,0.142127264282397,0.036120134572259,0.326774507460901
"ak","hh2",0.143856838924594,0.142127264282397,0.0110051589386602,0.285984103206991
"az","hh2",0.179072528524425,0.142127264282397,0.0129891113654273,0.321199792806822
"ar","hh2",0.19819393529194,0.142127264282397,0.0323650976810448,0.340321199574337
"ca","hh2",0.175215381826087,0.142127264282397,0.00119250304932706,0.317342646108484
"co","hh2",0.210905098198744,0.142127264282397,0.0378105085919871,0.35303236248114
"ct","hh2",0.209345410773481,0.142127264282397,0.0214640786380774,0.351472675055878
"de","hh2",0.188707432962112,0.142127264282397,0.0403093273460292,0.330834697244509
"dc","hh2",0.235866620064457,0.142127264282397,0.04580457390168,0.377993884346854
"fl","hh2",0.154204376883987,0.142127264282397,0.0177656198664389,0.296331641166383
"ga","hh2",0.198142881388187,0.142127264282397,0.0281477361733205,0.340270145670584
"hi","hh2",0.21202932690725,0.142127264282397,0.0228845901978219,0.354156591189647
"id","hh2",0.207859851325983,0.142127264282397,0.000308078523828516,0.34998711560838
"il","hh2",0.191582704980742,0.142127264282397,0.0427203832282434,0.333709969263139
"in","hh2",0.193053351570662,0.142127264282397,0.0329366544106264,0.335180615853059
"ia","hh2",0.187584976039328,0.142127264282397,0.0371517747446977,0.329712240321724
"ks","hh2",0.209241350223972,0.142127264282397,0.0218877610540076,0.351368614506369
"ky","hh2",0.216067015614182,0.142127264282397,0.0413861749107775,0.358194279896578
"la","hh2",0.179994694625346,0.142127264282397,0.0289121902777106,0.322121958907743
"me","hh2",0.201958918766053,0.142127264282397,0.0325239733517379,0.34408618304845
"md","hh2",0.207697874019859,0.142127264282397,0.0168907624602823,0.349825138302256
"ma","hh2",0.227801122227106,0.142127264282397,0.0324661748070143,0.369928386509503
"mi","hh2",0.209421243509477,0.142127264282397,0.0347697095837394,0.351548507791874
"mn","hh2",0.231673759212302,0.142127264282397,0.0240540846003182,0.373801023494699
"ms","hh2",0.197868803722222,0.142127264282397,0.0217266909493675,0.339996068004619
"mo","hh2",0.197700958752776,0.142127264282397,0.0208181587931774,0.339828223035173
"mt","hh2",0.198454230498749,0.142127264282397,0.038220111671796,0.340581494781146
"ne","hh2",0.212556461054341,0.142127264282397,0.0319033885887933,0.354683725336738
"nv","hh2",0.156420508974374,0.142127264282397,0.00867646700092563,0.298547773256771
"nh","hh2",0.156925605025193,0.142127264282397,0.0117141917838793,0.29905286930759
"nj","hh2",0.188495316206746,0.142127264282397,0.0152969667239519,0.330622580489143
"nm","hh2",0.196089581988365,0.142127264282397,0.000819226960034205,0.338216846270761
"ny","hh2",0.218309897920807,0.142127264282397,0.0258655492805785,0.360437162203204
"nc","hh2",0.191424745142342,0.142127264282397,0.0435187235092282,0.333552009424739
"nd","hh2",0.158924737661433,0.142127264282397,0.040951847297558,0.30105200194383
"oh","hh2",0.181947934709103,0.142127264282397,0.0222857247605391,0.3240751989915
"ok","hh2",0.201572902062863,0.142127264282397,0.0191109585650183,0.343700166345259
"or","hh2",0.231355365953901,0.142127264282397,0.0259406531983433,0.373482630236297
"pa","hh2",0.181170375772025,0.142127264282397,0.0359310443795892,0.323297640054422
"ri","hh2",0.191190242107705,0.142127264282397,0.0186455907021641,0.333317506390102
"sc","hh2",0.198953028852622,0.142127264282397,0.0260473063644025,0.341080293135018
"sd","hh2",0.145985321952724,0.142127264282397,0.00952507846154241,0.288112586235121
"tn","hh2",0.147276834965146,0.142127264282397,0.000733579822181934,0.289404099247543
"tx","hh2",0.158872077951424,0.142127264282397,0.00857180735107763,0.30099934223382
"ut","hh2",0.204560716579862,0.142127264282397,0.00111337422185694,0.346687980862259
"vt","hh2",0.185162410936995,0.142127264282397,0.0371716194185844,0.327289675219392
"va","hh2",0.215901290374812,0.142127264282397,0.0245349409349374,0.358028554657208
"wa","hh2",0.151561062242598,0.142127264282397,0.0147048309493167,0.293688326524994
"wv","hh2",0.19077986928167,0.142127264282397,0.0355770421135871,0.332907133564067
"wi","hh2",0.222644511329568,0.142127264282397,0.0365642743663908,0.364771775611965
"wy","hh2",0.151397029325691,0.142127264282397,0.0109883583326474,0.293524293608088
"al","hh3",0.199811433287172,0.142127264282397,0.0723489675478825,0.341938697569568
"ak","hh3",0.172115089220262,0.142127264282397,0.0554930724206202,0.314242353502659
"az","hh3",0.191637572660684,0.142127264282397,0.0679721052745268,0.333764836943081
"ar","hh3",0.202323082722578,0.142127264282397,0.0713322370056283,0.344450347004975
"ca","hh3",0.189664662431539,0.142127264282397,0.0586643577884834,0.331791926713935
"co","hh3",0.219111469630353,0.142127264282397,0.0773465782964075,0.36123873391275
"ct","hh3",0.210947125675988,0.142127264282397,0.0698249312024288,0.353074389958385
"de","hh3",0.217266572131878,0.142127264282397,0.0792808597086257,0.359393836414275
"dc","hh3",0.246178687837722,0.142127264282397,0.112174757885882,0.388305952120118
"fl","hh3",0.162711170801859,0.142127264282397,0.0504476054294822,0.304838435084256
"ga","hh3",0.212620212099086,0.142127264282397,0.0812447402121732,0.354747476381483
"hi","hh3",0.206548937400893,0.142127264282397,0.070954899453577,0.348676201683289
"id","hh3",0.211371903943571,0.142127264282397,0.0600938978865655,0.353499168225967
"il","hh3",0.203637385488574,0.142127264282397,0.0811124392962158,0.345764649770971
"in","hh3",0.193400765979845,0.142127264282397,0.0678560217744049,0.335528030262241
"ia","hh3",0.218432742100658,0.142127264282397,0.0774981898952792,0.360560006383055
"ks","hh3",0.198140332878534,0.142127264282397,0.0663849763187913,0.340267597160931
"ky","hh3",0.197589556305986,0.142127264282397,0.0773198977367269,0.339716820588383
"la","hh3",0.194283227035885,0.142127264282397,0.0791426039086759,0.336410491318281
