"yr","r","s","Val"
"1997","FL","fin",0.0534447494248852
"1997","FL","tsv",8.48610147073941
"1997","FL","nrs",2.85897421737827
"1997","FL","sec",2.99466675525082
"1997","FL","art",1.91763772978693
"1997","FL","mov",0.341021508379938
"1997","FL","fpd",0.586554155428547
"1997","FL","slg",35.0593129723911
"1997","FL","pri",0.916424105081919
"1997","FL","grd",0.356287492821783
"1997","FL","pip",0.0141438179217862
"1997","FL","sle",2.90642441332026
"1997","FL","osv",9.29895844739856
"1997","FL","trn",0.526835491703153
"1997","FL","smn",0.00526024741356494
"1997","FL","fmt",1.43615531776907
"1997","FL","pet",0.107357765856123
"1997","FL","mvt",3.90211560848688
"1997","FL","cep",3.63380194111955
"1997","FL","wst",0.538367526192385
"1997","FL","mot",0.435421080293646
"1997","FL","adm",11.8201670438468
"1997","FL","soc",1.62722815424805
"1997","FL","alt",0.422690586004193
"1997","FL","pmt",0.227984887105589
"1997","FL","trk",1.54008648976297
"1997","FL","fdd",5.20923547483706
"1997","FL","gmt",2.81884174177037
"1997","FL","wtt",0.465216729525692
"1997","FL","wpd",0.505218312140114
"1997","FL","wht",14.5171789268505
"1997","FL","wrh",0.714568420338331
"1997","FL","ott",10.2416663941863
"1997","FL","che",1.1475122844226
"1997","FL","air",1.720794421685
"1997","FL","mmf",1.20727097530309
"1997","FL","otr",2.35713579573367
"1997","FL","min",0.346708070000043
"1997","MD","ppd",0.297397806472204
"1997","MD","res",1.59893607399824
"1997","MD","com",2.6457389276902
"1997","MD","amb",3.82318074014677
"1997","MD","fbp",0.776378253618435
"1997","MD","rec",0.467648659493139
"1997","MD","con",5.84642847050779
"1997","MD","agr",0.12246995768928
"1997","MD","eec",0.108793846327219
"1997","MD","fnd",1.92237395867556
"1997","MD","pub",0.742306599735546
"1997","MD","hou",0.422143625722798
"1997","MD","fbt",1.11003830793206
"1997","MD","ins",2.11408196797633
"1997","MD","tex",0.0940023594580107
"1997","MD","leg",1.00693177724703
"1997","MD","fen",1.28680645639019
"1997","MD","uti",0.851532845022508
"1997","MD","nmp",0.262509401709723
"1997","MD","brd",1.56644701804992
"1997","MD","bnk",2.12857609948457
"1997","MD","ore",0.450397154411364
"1997","MD","edu",1.33943466785883
"1997","MD","ote",0.244648911317727
"1997","MD","man",0.41695016449227
"1997","MD","mch",0.641520233662873
"1997","MD","dat",0.245388892429879
"1997","MD","amd",0.73613761348554
"1997","MD","oil",0.000290289435204304
"1997","MD","hos",2.92983912664321
"1997","MD","rnt",0.41837612877975
"1997","MD","pla",0.360191881860083
"1997","MD","fof",0.0378686530953233
