"year","r","hh","n"
2001,"VT","hh2",328
2001,"VA","hh2",340
2001,"WA","hh2",383
2001,"WV","hh2",317
2001,"WI","hh2",431
2001,"WY","hh2",325
2001,"AL","hh3",214
2001,"AK","hh3",229
2001,"AZ","hh3",223
2001,"AR","hh3",163
2001,"CA","hh3",998
2001,"CO","hh3",287
2001,"CT","hh3",272
2001,"DE","hh3",216
2001,"DC","hh3",174
2001,"FL","hh3",555
2001,"GA","hh3",233
2001,"HI","hh3",209
2001,"ID","hh3",194
2001,"IL","hh3",582
2001,"IN","hh3",269
2001,"IA","hh3",313
2001,"KS","hh3",260
2001,"KY","hh3",179
2001,"LA","hh3",130
2001,"ME","hh3",236
2001,"MD","hh3",228
2001,"MA","hh3",275
2001,"MI","hh3",405
2001,"MN","hh3",329
2001,"MS","hh3",130
2001,"MO","hh3",250
2001,"MT","hh3",152
2001,"NE","hh3",277
2001,"NV","hh3",288
2001,"NH","hh3",267
2001,"NJ","hh3",351
2001,"NM","hh3",186
2001,"NY","hh3",695
2001,"NC","hh3",300
2001,"ND","hh3",235
2001,"OH","hh3",450
2001,"OK","hh3",196
2001,"OR","hh3",230
2001,"PA","hh3",530
2001,"RI","hh3",240
2001,"SC","hh3",173
2001,"SD","hh3",270
2001,"TN","hh3",161
2001,"TX","hh3",576
2001,"UT","hh3",229
2001,"VT","hh3",217
2001,"VA","hh3",250
2001,"WA","hh3",275
2001,"WV","hh3",183
2001,"WI","hh3",326
2001,"WY","hh3",229
2001,"AL","hh4",223
2001,"AK","hh4",319
2001,"AZ","hh4",216
2001,"AR","hh4",111
2001,"CA","hh4",1247
2001,"CO","hh4",390
2001,"CT","hh4",350
2001,"DE","hh4",250
2001,"DC","hh4",167
2001,"FL","hh4",594
2001,"GA","hh4",191
2001,"HI","hh4",246
2001,"ID","hh4",147
2001,"IL","hh4",635
2001,"IN","hh4",263
2001,"IA","hh4",216
2001,"KS","hh4",260
2001,"KY","hh4",199
2001,"LA","hh4",151
2001,"ME","hh4",230
2001,"MD","hh4",340
2001,"MA","hh4",406
2001,"MI","hh4",488
2001,"MN","hh4",378
2001,"MS","hh4",99
2001,"MO","hh4",242
2001,"MT","hh4",104
2001,"NE","hh4",257
2001,"NV","hh4",316
2001,"NH","hh4",330
2001,"NJ","hh4",500
2001,"NM","hh4",133
2001,"NY","hh4",837
2001,"NC","hh4",272
2001,"ND","hh4",153
2001,"OH","hh4",523
2001,"OK","hh4",166
2001,"OR","hh4",249
2001,"PA","hh4",567
2001,"RI","hh4",345
2001,"SC","hh4",154
2001,"SD","hh4",196
2001,"TN","hh4",162
2001,"TX","hh4",640
2001,"UT","hh4",232
2001,"VT","hh4",233
2001,"VA","hh4",339
2001,"WA","hh4",263
2001,"WV","hh4",136
2001,"WI","hh4",343
2001,"WY","hh4",173
2001,"AL","hh5",35
2001,"AK","hh5",63
2001,"AZ","hh5",49
2001,"AR","hh5",21
2001,"CA","hh5",382
2001,"CO","hh5",111
2001,"CT","hh5",116
2001,"DE","hh5",59
2001,"DC","hh5",68
2001,"FL","hh5",151
2001,"GA","hh5",44
2001,"HI","hh5",57
2001,"ID","hh5",34
2001,"IL","hh5",150
2001,"IN","hh5",68
2001,"IA","hh5",47
2001,"KS","hh5",66
2001,"KY","hh5",45
2001,"LA","hh5",23
2001,"ME","hh5",30
2001,"MD","hh5",127
2001,"MA","hh5",121
2001,"MI","hh5",122
2001,"MN","hh5",84
2001,"MS","hh5",18
2001,"MO","hh5",49
2001,"MT","hh5",10
2001,"NE","hh5",33
2001,"NV","hh5",58
2001,"NH","hh5",85
2001,"NJ","hh5",201
2001,"NM","hh5",23
2001,"NY","hh5",251
2001,"NC","hh5",55
2001,"ND","hh5",22
2001,"OH","hh5",105
2001,"OK","hh5",18
2001,"OR","hh5",47
2001,"PA","hh5",168
2001,"RI","hh5",82
2001,"SC","hh5",28
2001,"SD","hh5",18
2001,"TN","hh5",40
2001,"TX","hh5",181
2001,"UT","hh5",38
2001,"VT","hh5",44
2001,"VA","hh5",94
2001,"WA","hh5",86
2001,"WV","hh5",26
2001,"WI","hh5",82
2001,"WY","hh5",14
2002,"US","hh1",22125
2002,"US","hh2",21360
2002,"US","hh3",14759
2002,"US","hh4",16072
2002,"US","hh5",3991
2002,"AL","hh1",409
2002,"AK","hh1",213
2002,"AZ","hh1",305
2002,"AR","hh1",355
2002,"CA","hh1",1502
2002,"CO","hh1",363
2002,"CT","hh1",322
2002,"DE","hh1",205
2002,"DC","hh1",368
2002,"FL","hh1",1115
2002,"GA","hh1",335
2002,"HI","hh1",270
2002,"ID","hh1",266
2002,"IL","hh1",746
2002,"IN","hh1",414
2002,"IA","hh1",314
2002,"KS","hh1",355
2002,"KY","hh1",343
2002,"LA","hh1",365
2002,"ME","hh1",394
2002,"MD","hh1",259
2002,"MA","hh1",357
2002,"MI","hh1",621
2002,"MN","hh1",267
2002,"MS","hh1",332
2002,"MO","hh1",315
2002,"MT","hh1",296
2002,"NE","hh1",315
2002,"NV","hh1",358
2002,"NH","hh1",248
2002,"NJ","hh1",442
2002,"NM","hh1",361
2002,"NY","hh1",1236
2002,"NC","hh1",566
2002,"ND","hh1",339
2002,"OH","hh1",644
2002,"OK","hh1",353
2002,"OR","hh1",336
2002,"PA","hh1",729
2002,"RI","hh1",362
2002,"SC","hh1",337
2002,"SD","hh1",360
2002,"TN","hh1",335
2002,"TX","hh1",1118
2002,"UT","hh1",206
2002,"VT","hh1",292
2002,"VA","hh1",315
2002,"WA","hh1",354
2002,"WV","hh1",463
2002,"WI","hh1",355
2002,"WY","hh1",295
2002,"AL","hh2",305
2002,"AK","hh2",304
2002,"AZ","hh2",325
2002,"AR","hh2",266
2002,"CA","hh2",1473
2002,"CO","hh2",437
2002,"CT","hh2",280
2002,"DE","hh2",289
2002,"DC","hh2",282
2002,"FL","hh2",1011
2002,"GA","hh2",324
2002,"HI","hh2",276
2002,"ID","hh2",315
2002,"IL","hh2",724
2002,"IN","hh2",419
2002,"IA","hh2",368
2002,"KS","hh2",376
2002,"KY","hh2",318
2002,"LA","hh2",256
2002,"ME","hh2",340
2002,"MD","hh2",294
2002,"MA","hh2",325
2002,"MI","hh2",556
2002,"MN","hh2",324
2002,"MS","hh2",223
2002,"MO","hh2",320
2002,"MT","hh2",262
2002,"NE","hh2",342
2002,"NV","hh2",492
2002,"NH","hh2",270
